fiyat,oda_salon,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle
7230000.0,3+1,145.0,120.0,16-20,1.0,5.0,Kombi Doğalgaz,2.0,Ümraniye,Yukarı Dudullu
6050000.0,2+1,80.0,65.0,16-20,,10.0,Kombi Doğalgaz,1.0,Ümraniye,Namık Kemal
4200000.0,2+1,75.0,65.0,21 Ve Üzeri,1.0,4.0,Merkezi Doğalgaz,1.0,Fatih,Ayvansaray
18000000.0,2+1,85.0,70.0,5-10,1.0,3.0,Merkezi (Pay Ölçer),1.0,Eyüpsultan,Mithatpaşa
4000000.0,2+1,85.0,80.0,21 Ve Üzeri,2.0,4.0,Kombi Doğalgaz,1.0,Fatih,Koca Mustafapaşa
7500000.0,2+1,90.0,85.0,5-10,4.0,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Soğanlı
4800000.0,2+1,110.0,100.0,21 Ve Üzeri,4.0,6.0,Merkezi (Pay Ölçer),2.0,Silivri,Yeni
7200000.0,4+1,200.0,180.0,21 Ve Üzeri,10.0,10.0,Kombi Doğalgaz,2.0,Pendik,Kavakpınar
12000000.0,3+1,125.0,110.0,0 (Yeni),6.0,6.0,Yerden Isıtma,2.0,Zeytinburnu,Yenidoğan
13500000.0,1+1,100.0,80.0,21 Ve Üzeri,23.0,24.0,Yerden Isıtma,1.0,Eyüpsultan,5. Levent
2350000.0,2+1,100.0,90.0,5-10,1.0,5.0,Kombi Doğalgaz,1.0,Esenyurt,İncirtepe
3900000.0,2+1,70.0,53.0,0 (Yeni),3.0,6.0,Kombi Doğalgaz,1.0,Zeytinburnu,Nuripaşa
7150000.0,4+2,190.0,180.0,5-10,4.0,5.0,Kombi Doğalgaz,2.0,Sultangazi,50. Yıl
7200000.0,3+1,130.0,120.0,5-10,4.0,13.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa
6190000.0,3+1,115.0,90.0,5-10,5.0,8.0,Kombi Doğalgaz,1.0,Pendik,Kavakpınar
4600000.0,2+1,80.0,75.0,11-15,,5.0,Kombi Doğalgaz,1.0,Üsküdar,Ahmediye
2790000.0,2+1,105.0,100.0,21 Ve Üzeri,4.0,5.0,Kombi Doğalgaz,1.0,Küçükçekmece,Fevzi Çakmak
2499000.0,1+1,75.0,66.0,0 (Yeni),,5.0,Kombi Doğalgaz,1.0,Esenyurt,Ardıçlı
3700000.0,3+1,110.0,100.0,21 Ve Üzeri,5.0,5.0,Kombi Doğalgaz,1.0,Bahçelievler,Şirinevler
9000000.0,4+2,220.0,190.0,0 (Yeni),3.0,3.0,Kombi Doğalgaz,2.0,Küçükçekmece,Tevfik Bey
12000000.0,2+1,100.0,85.0,0 (Yeni),,7.0,Yerden Isıtma,1.0,Üsküdar,Bahçelievler
8250000.0,3+1,145.0,125.0,21 Ve Üzeri,5.0,7.0,Kombi Doğalgaz,1.0,Maltepe,Bağlarbaşı
6225000.0,3+2,220.0,200.0,5-10,3.0,3.0,Kombi Doğalgaz,2.0,Başakşehir,Güvercintepe
4350000.0,2+1,100.0,95.0,5-10,3.0,3.0,Kombi Doğalgaz,1.0,Başakşehir,Güvercintepe
16750000.0,5+1,150.0,130.0,11-15,2.0,6.0,Kombi Doğalgaz,1.0,Fatih,Haseki Sultan
8200000.0,3+1,130.0,110.0,0 (Yeni),1.0,5.0,Kombi Doğalgaz,2.0,Beylikdüzü,Kavaklı
2850000.0,2+1,95.0,85.0,0 (Yeni),,7.0,Kombi Doğalgaz,1.0,Esenyurt,Mehterçeşme
