fiyat,metrekare_brut,metrekare_net,bina_yasi,kat,kat_sayisi,isitma,banyo_sayisi,ilce,mahalle,kat_orani,metrekare_farki,metrekare_verimliligi,oda_sayisi,salon_sayisi,toplam_oda
9250000.0,125.0,108.0,21 Ve Üzeri,9.0,11.0,Kombi Doğalgaz,1.0,Başakşehir,Başak,0.8181818181818182,17.0,0.864,3.0,1.0,4.0
6200000.0,85.0,75.0,21 Ve Üzeri,1.0,4.0,Merkezi Doğalgaz,1.0,Bakırköy,Kartaltepe,0.25,10.0,0.8823529411764706,2.0,1.0,3.0
6750000.0,75.0,65.0,21 Ve Üzeri,4.0,5.0,Kombi Doğalgaz,1.0,Üsküdar,İcadiye,0.8,10.0,0.8666666666666667,2.0,1.0,3.0
7500000.0,100.0,80.0,0 (Yeni),4.0,13.0,Kombi Doğalgaz,1.0,Kartal,Yakacık Çarşı,0.3076923076923077,20.0,0.8,3.0,1.0,4.0
7900000.0,110.0,90.0,21 Ve Üzeri,2.0,10.0,Merkezi Doğalgaz,1.0,Kartal,Yakacık Yeni,0.2,20.0,0.8181818181818182,3.0,1.0,4.0
5500000.0,70.0,50.0,0 (Yeni),2.0,4.0,Kombi Doğalgaz,1.0,Kartal,Cumhuriyet,0.5,20.0,0.7142857142857143,2.0,1.0,3.0
6495000.0,125.0,105.0,21 Ve Üzeri,5.0,6.0,Kombi Doğalgaz,1.0,Kartal,Petroliş,0.8333333333333334,20.0,0.84,3.0,1.0,4.0
6100000.0,75.0,65.0,11-15,1.0,5.0,Kombi Doğalgaz,1.0,Üsküdar,Cumhuriyet,0.2,10.0,0.8666666666666667,2.0,1.0,3.0
8400000.0,100.0,80.0,2,6.0,10.0,Merkezi (Pay Ölçer),2.0,Kartal,Yakacık Çarşı,0.6,20.0,0.8,2.0,1.0,3.0
6250000.0,300.0,260.0,21 Ve Üzeri,4.0,5.0,Kombi Doğalgaz,2.0,Şişli,Eskişehir,0.8,40.0,0.8666666666666667,6.0,2.0,8.0
8300000.0,120.0,100.0,2,2.0,12.0,Merkezi (Pay Ölçer),1.0,Kartal,Hürriyet,0.1666666666666666,20.0,0.8333333333333334,3.0,1.0,4.0
4430000.0,145.0,130.0,0 (Yeni),2.0,4.0,Kombi Doğalgaz,2.0,Esenyurt,İncirtepe,0.5,15.0,0.896551724137931,3.0,1.0,4.0
4300000.0,140.0,125.0,5-10,9.0,15.0,Kombi Doğalgaz,2.0,Esenyurt,Mehterçeşme,0.6,15.0,0.8928571428571429,3.0,1.0,4.0
9495000.0,125.0,105.0,0 (Yeni),1.0,14.0,Kombi Doğalgaz,2.0,Kartal,Cumhuriyet,0.0714285714285714,20.0,0.84,3.0,1.0,4.0
5825000.0,95.0,70.0,0 (Yeni),3.0,5.0,Kombi Doğalgaz,1.0,Sultangazi,İsmetpaşa,0.6,25.0,0.7368421052631579,2.0,1.0,3.0
4750000.0,135.0,125.0,4,1.0,4.0,Kombi Doğalgaz,2.0,Esenyurt,Güzelyurt,0.25,10.0,0.925925925925926,3.0,1.0,4.0
4330000.0,285.0,260.0,5-10,4.0,5.0,Kombi Doğalgaz,2.0,Esenyurt,Battalgazi,0.8,25.0,0.912280701754386,5.0,2.0,7.0
6395000.0,130.0,110.0,21 Ve Üzeri,2.0,4.0,Kombi Doğalgaz,1.0,Kartal,Hürriyet,0.5,20.0,0.8461538461538461,3.0,1.0,4.0
6400000.0,91.0,62.0,0 (Yeni),3.0,9.0,Yerden Isıtma,1.0,Pendik,Yayalar,0.3333333333333333,29.0,0.6813186813186813,2.0,1.0,3.0
6050000.0,90.0,75.0,3,6.0,8.0,Kombi Doğalgaz,1.0,Pendik,Sülüntepe,0.75,15.0,0.8333333333333334,2.0,1.0,3.0
7235000.0,98.0,78.0,0 (Yeni),1.0,12.0,Kombi Doğalgaz,2.0,Kartal,Hürriyet,0.0833333333333333,20.0,0.7959183673469388,2.0,1.0,3.0
5150000.0,80.0,65.0,16-20,1.0,5.0,Kombi Doğalgaz,1.0,Pendik,Yayalar,0.2,15.0,0.8125,2.0,1.0,3.0
7800000.0,220.0,200.0,5-10,2.0,4.0,Kombi Doğalgaz,2.0,Pendik,Şeyhli,0.5,20.0,0.9090909090909092,4.0,2.0,6.0
9900000.0,100.0,67.0,0 (Yeni),4.0,9.0,Kombi Doğalgaz,1.0,Pendik,Yenişehir,0.4444444444444444,33.0,0.67,2.0,1.0,3.0
6500000.0,165.0,145.0,11-15,2.0,2.0,Kombi Doğalgaz,1.0,Pendik,Ramazanoğlu,1.0,20.0,0.8787878787878788,3.0,1.0,4.0
6200000.0,95.0,80.0,4,1.0,6.0,Kombi Doğalgaz,1.0,Pendik,Şeyhli,0.1666666666666666,15.0,0.8421052631578947,2.0,1.0,3.0
5645000.0,95.0,80.0,5-10,1.0,7.0,Kombi Doğalgaz,1.0,Pendik,Şeyhli,0.1428571428571428,15.0,0.8421052631578947,2.0,1.0,3.0
5720000.0,100.0,85.0,16-20,3.0,3.0,Kombi Doğalgaz,1.0,Pendik,Yenişehir,1.0,15.0,0.85,2.0,1.0,3.0
5200000.0,90.0,75.0,5-10,5.0,7.0,Kombi Doğalgaz,1.0,Pendik,Velibaba,0.7142857142857143,15.0,0.8333333333333334,2.0,1.0,3.0
6650000.0,95.0,75.0,5-10,1.0,5.0,Kombi Doğalgaz,1.0,Kartal,Cumhuriyet,0.2,20.0,0.7894736842105263,2.0,1.0,3.0
6100000.0,90.0,75.0,11-15,3.0,4.0,Kombi Doğalgaz,1.0,Pendik,Şeyhli,0.75,15.0,0.8333333333333334,2.0,1.0,3.0
5740000.0,100.0,85.0,11-15,2.0,3.0,Kombi Doğalgaz,1.0,Pendik,Esenler,0.6666666666666666,15.0,0.85,2.0,1.0,3.0
6500000.0,95.0,80.0,16-20,1.0,6.0,Kombi Doğalgaz,1.0,Pendik,Şeyhli,0.1666666666666666,15.0,0.8421052631578947,2.0,1.0,3.0
5025000.0,60.0,45.0,0 (Yeni),1.0,9.0,Merkezi (Pay Ölçer),1.0,Pendik,Çınardere,0.1111111111111111,15.0,0.75,1.0,1.0,2.0
6425000.0,110.0,90.0,11-15,3.0,4.0,Kombi Doğalgaz,1.0,Kartal,Gümüşpınar,0.75,20.0,0.8181818181818182,2.0,1.0,3.0
